Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Latitude;Longitude
Tijuca;3;1;0;172;2700.0;780.0;170.0;-22.92717366735232;-43.23216713994678
Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;-22.94510099780486;-43.33886482459396
Ipanema;3;1;1;145;8000.0;14768.0;4394.0;-22.985616622567466;-43.1993013330593
Olaria;2;1;0;53;1100.0;160.0;0.0;-22.85057693211622;-43.26710390354108
Botafogo;2;1;1;83;2800.0;560.0;138.0;-22.954110754407726;-43.18783955926245
Botafogo;2;1;1;80;4300.0;1178.0;187.0;-22.947523412570987;-43.18440709119517
Lagoa;3;1;2;250;13900.0;2500.0;0.0;-22.959078491361748;-43.2038516346929
Leblon;3;2;1;147;7500.0;1028.0;247.0;-22.985128699072813;-43.22478650641455
Copacabana;2;1;0;67;3500.0;950.0;160.0;-22.970575052012347;-43.180290669272964
Ipanema;3;1;1;150;25000.0;1616.0;4255.0;-22.984895012890455;-43.20003922469591
Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;-22.996009471692336;-43.36290961681158
Catete;2;0;0;77;2400.0;1130.0;140.0;-22.927290233326715;-43.184256520820625
Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;-22.80736537850152;-43.196403766986315
Leblon;3;1;0;85;3900.0;800.0;1211.0;-22.985741152430755;-43.22549563355334
Catete;2;0;0;75;3350.0;455.0;0.0;-22.926367586792534;-43.17946433711183
Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;-23.020650425523293;-43.461321947295815
Praça Seca;2;0;0;80;900.0;350.0;0.0;-22.89850082608799;-43.351796575607814
Vila Isabel;1;0;0;37;1000.0;285.0;24.0;-22.913118894047578;-43.24726065377152
Copacabana;3;0;0;150;5500.0;1780.0;420.0;-22.972879395453734;-43.181188144850736
Lagoa;3;1;1;127;5000.0;1540.0;370.0;-22.964991913167584;-43.19944107521094
Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;-22.936412061541542;-43.3393763848336
Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;-22.999654663356914;-43.367799742440674
Gávea;3;1;1;160;8000.0;2000.0;0.0;-22.985106115290435;-43.237960468836484
Copacabana;3;1;1;200;6200.0;1800.0;420.0;-22.976049952621178;-43.1830460202441
Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;-23.003253557826845;-43.36232716477955
Botafogo;3;1;1;100;5500.0;1300.0;220.0;-22.950362585624674;-43.186730221065545
Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;-22.997111685720732;-43.36975535639355
Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;-23.0192156602988;-43.46777260161261
Ipanema;2;0;2;52;10000.0;3689.0;393.0;-22.987883950644633;-43.20376280420133
Leblon;4;4;4;380;40000.0;4700.0;1500.0;-22.98452622642144;-43.22424020451601
Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;-23.014050007577836;-43.465208861680225
Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;-22.999478370894106;-43.36180352372503
Taquara;2;1;0;75;1200.0;330.0;75.0;-22.91764669460148;-43.38081703516341
Botafogo;4;1;1;190;5500.0;1720.0;350.0;-22.94826258267989;-43.18349893334175
Ipanema;4;6;1;700;65000.0;8860.0;5699.0;-22.988352370802513;-43.199607131944404
Méier;2;0;0;56;899.0;402.0;135.0;-22.89974350362576;-43.27705605469001
Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;-22.939254506678758;-43.34490140386395
Lagoa;3;1;2;105;3600.0;1100.0;281.0;-22.962133067026322;-43.20252134230368
Copacabana;3;1;1;500;15000.0;2580.0;366.0;-22.974072573290428;-43.18093506230147
Tijuca;3;0;0;87;1600.0;650.0;100.0;-22.92346644381278;-43.23250884941338
Botafogo;1;0;0;35;1500.0;470.0;50.0;-22.95500563043764;-43.18727593251023
Ipanema;3;3;1;220;22000.0;4000.0;1200.0;-22.984542812743978;-43.20200596940982
Copacabana;3;0;0;100;3300.0;850.0;90.0;-22.972390486643036;-43.188052698406885
Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;-22.99565605665231;-43.363957824924384
Engenho Novo;2;2;0;78;800.0;915.0;55.0;-22.905711523536596;-43.266594342109336
Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;-23.00186989854324;-43.368603619593216
Leblon;2;1;1;115;7500.0;980.0;270.0;-22.983455524982546;-43.224940602593726
Botafogo;2;1;1;70;3700.0;1133.0;147.0;-22.95440173307523;-43.18402903049092
Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;-22.937176249445894;-43.33911610847437
Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;-22.99640573287147;-43.36946620753522
Campo Grande;2;0;0;60;1200.0;570.0;0.0;-22.904766996876962;-43.56289225572029
Flamengo;1;0;0;40;1900.0;430.0;54.0;-22.932733554546207;-43.17686254479345
Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;-22.90167836809706;-43.29240105652613
Copacabana;3;2;1;250;7000.0;1500.0;434.0;-22.975098446583054;-43.18437454303036
Ipanema;3;2;1;200;15000.0;1500.0;572.0;-22.981593102799323;-43.20186736471838
Copacabana;3;1;0;140;3700.0;1347.0;0.0;-22.971619588728924;-43.186323779818224
Copacabana;2;0;0;50;2500.0;750.0;760.0;-22.969466361692323;-43.18055177965054
Tijuca;3;1;1;78;2500.0;730.0;178.0;-22.924461916950243;-43.23202856032558
Lagoa;3;1;1;75;4000.0;1250.0;309.0;-22.966960652934848;-43.19900082830314
Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;-23.020097695486957;-43.46769812472752
Tijuca;1;0;0;65;1200.0;320.0;0.0;-22.929059809318527;-43.230062158626005
Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;-22.99587851245362;-43.36458267946451
Copacabana;4;1;2;210;13000.0;2200.0;650.0;-22.96856550309959;-43.1810015029787
Maracanã;3;2;3;158;2400.0;1265.0;0.0;-22.90917691023575;-43.228092709635945
Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;-23.001472772871377;-43.36533717213913
Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;-22.938295973501553;-43.18470319158889
Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;-22.996338313607165;-43.36299234938013
Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;-22.936867354992316;-43.342748745987166
São Conrado;4;4;4;510;25000.0;6600.0;0.0;-22.99508831893139;-43.266839070259245
Tijuca;3;0;0;75;1800.0;350.0;0.0;-22.92486118583015;-43.233882841268716
Ipanema;3;1;1;126;5500.0;1400.0;2000.0;-22.987832787333783;-43.20538603734616
Leblon;4;2;2;250;17500.0;4990.0;620.0;-22.981115380512684;-43.22171261245258
Copacabana;4;2;2;436;17000.0;3900.0;1000.0;-22.969581490136235;-43.180478194983856
Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;-22.9442343768195;-43.341489589956325
Tijuca;2;1;1;71;1500.0;600.0;0.0;-22.92495755859711;-43.235227399555626
Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;-22.999292167658545;-43.36338903225041
Leblon;3;1;0;87;3800.0;970.0;273.0;-22.98557529033954;-43.22866072757173
Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;-22.930965402630232;-43.18485496978461
Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;-23.01920685853819;-43.46508437125183
Leblon;2;1;0;70;4200.0;1100.0;200.0;-22.98605461615102;-43.2249242669218
Pilares;3;0;0;65;1200.0;350.0;16.0;-22.878736735200984;-43.29328997818708
Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;-22.997671020378192;-43.363702002500254
Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;-22.937006940429495;-43.18813438495443
Tijuca;2;0;0;50;1800.0;347.0;25.0;-22.926429653378293;-43.23047547969971
Ipanema;3;1;1;140;6500.0;1800.0;506.0;-22.97949935579005;-43.19979708018185
Campo Grande;2;0;0;60;800.0;380.0;0.0;-22.901604097481243;-43.55760907638751
Ipanema;4;1;1;170;12000.0;1210.0;4222.0;-22.98451279924477;-43.20495987017026
Centro;1;0;0;35;1350.0;420.0;24.0;-22.27984221743068;-42.53097028905606
