Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Latitude;Longitude
Leblon;4;2;1;140;8500.0;1960.0;350.0;-22.9831020006335;-43.22161206358283
Barra da Tijuca;2;1;1;105;5500.0;2800.0;590.0;-23.002777021527354;-43.36805613958637
Flamengo;2;1;1;80;2900.0;700.0;128.0;-22.935770062074297;-43.17304978143495
Jacarepaguá;3;2;1;115;4200.0;1400.0;186.0;-22.949388694216523;-43.370069121094666
Barra da Tijuca;2;2;1;200;9500.0;1700.0;530.0;-23.000599339018997;-43.369076822742024
Ipanema;2;1;0;80;3600.0;916.0;200.0;-22.98396094775746;-43.20420070469651
Braz de Pina;2;0;0;40;800.0;160.0;0.0;-22.840590845020564;-43.31347781143689
Jardim Botânico;2;2;1;74;2950.0;1423.0;251.0;-22.9640138333753;-43.221060260618174
Méier;2;1;0;63;1100.0;529.0;34.0;-22.903348038621512;-43.28414339418852
Laranjeiras;3;0;0;80;2200.0;330.0;89.0;-22.93877865124764;-43.186908193231694
Recreio dos Bandeirantes;1;1;0;50;2100.0;860.0;0.0;-23.01636864516718;-43.4639491357634
Ipanema;4;2;1;200;8000.0;1650.0;750.0;-22.97967529067459;-43.20355696444402
Vila Isabel;2;1;0;87;1600.0;503.0;20.0;-22.91821777418528;-43.24728538968809
Barra da Tijuca;2;1;1;82;2000.0;1220.0;190.0;-22.997891337790723;-43.36967514797352
Gávea;1;1;0;50;2500.0;810.0;131.0;-22.981659103936902;-43.236809731059616
Copacabana;3;0;0;130;3450.0;1384.0;0.0;-22.973865555356035;-43.18416691540367
Leblon;3;1;1;100;5500.0;1323.0;243.0;-22.979464714268406;-43.22354926991888
Barra da Tijuca;2;2;1;86;1900.0;1300.0;115.0;-22.995414191990083;-43.36167402747351
Copacabana;5;2;2;389;13640.0;3825.0;1153.0;-22.971310451753958;-43.185050944098634
Barra da Tijuca;4;3;4;266;15000.0;3700.0;692.0;-23.00291664872777;-43.3680272200857
Barra da Tijuca;4;3;1;170;4200.0;2500.0;364.0;-22.999153316365586;-43.36497870260408
Copacabana;2;0;0;65;2200.0;829.0;152.0;-22.968312072908663;-43.183616076786194
Ipanema;2;0;0;70;3750.0;700.0;500.0;-22.984476750192055;-43.205788848629496
Lagoa;4;4;4;310;28000.0;4229.0;1708.0;-22.96076347716668;-43.20253346484297
Cachambi;2;1;0;45;1100.0;381.0;13.0;-22.887688035308475;-43.27710305039564
Taquara;3;1;1;85;1200.0;720.0;108.0;-22.918284829778514;-43.38429363467326
Centro;1;0;0;37;1200.0;310.0;21.0;-22.28324559035889;-42.53067016853074
Barra da Tijuca;3;2;1;112;3500.0;1500.0;211.0;-22.999281760087307;-43.362417606163014
Copacabana;3;2;1;170;8000.0;1900.0;500.0;-22.973701260193057;-43.18459257710524
Irajá;2;1;0;91;900.0;340.0;0.0;-22.83599823070268;-43.324982629067925
Leblon;3;1;1;220;8600.0;3300.0;0.0;-22.980392907754176;-43.221988237779065
Recreio dos Bandeirantes;4;3;4;420;10000.0;1482.0;1000.0;-23.019001345779568;-43.46669398382104
Barra da Tijuca;3;2;1;85;3500.0;1410.0;265.0;-23.003408069818274;-43.362943963655894
Maracanã;2;1;1;50;1500.0;520.0;0.0;-22.916166597274618;-43.22677503547327
Ipanema;3;1;1;125;6000.0;2000.0;262.0;-22.98268388612489;-43.20055690521647
Recreio dos Bandeirantes;2;1;1;88;1600.0;740.0;143.0;-23.017764217026194;-43.462289797305516
Flamengo;3;2;1;150;5900.0;1200.0;350.0;-22.936484805286625;-43.17449726215585
Barra da Tijuca;2;1;1;71;1900.0;490.0;80.0;-22.995819414309466;-43.36307103325069
Barra da Tijuca;4;3;4;290;12000.0;4000.0;600.0;-23.001739055477454;-43.36702300848358
Cachambi;2;1;0;65;1200.0;450.0;14.0;-22.894069862182782;-43.27814986037876
Centro;0;0;0;30;800.0;447.0;25.0;-22.279654689352558;-42.52891393901975
Tijuca;3;1;1;115;2500.0;1200.0;0.0;-22.92522597726255;-43.23019738625345
Leblon;2;1;0;70;4200.0;1100.0;200.0;-22.981916780013172;-43.229221147718796
Pechincha;3;2;1;108;1300.0;798.0;116.0;-22.932701607566187;-43.356122393972726
Ipanema;3;2;0;101;3950.0;1700.0;258.0;-22.98384961230382;-43.20326632231244
Barra da Tijuca;4;3;4;225;6500.0;2800.0;4300.0;-23.00249034964589;-43.364944373918526
Barra da Tijuca;2;1;1;89;2300.0;1450.0;205.0;-23.001380579690505;-43.36886175262472
Recreio dos Bandeirantes;2;1;1;71;2000.0;550.0;0.0;-23.01756939960337;-43.4627009351856
Praça Seca;1;1;0;37;500.0;322.0;0.0;-22.895271480523085;-43.34836871084291
Barra da Tijuca;4;3;4;227;14999.0;2250.0;370.0;-22.99606437744804;-43.370175806190254
Ipanema;3;1;1;130;8700.0;1900.0;300.0;-22.985206116177675;-43.19810500793157
Flamengo;3;1;1;250;9000.0;1650.0;583.0;-22.937152586554596;-43.17689764264703
Copacabana;3;1;3;270;8000.0;2000.0;524.0;-22.968789763370328;-43.18535962050915
Tijuca;3;1;0;56;2100.0;520.0;0.0;-22.925908430296015;-43.23378205792768
Leblon;4;2;4;200;9000.0;2710.0;994.0;-22.984605319641176;-43.22421782583133
Bonsucesso;3;0;0;81;1600.0;630.0;0.0;-22.86786984670962;-43.24938912699009
Méier;2;1;0;75;800.0;597.0;0.0;-22.90306780469915;-43.28039846117847
Ipanema;3;2;1;120;4000.0;3200.0;0.0;-22.979657987346048;-43.205156878445955
Anil;4;2;1;149;2100.0;1340.0;1206.0;-22.9524445843781;-43.34140137139057
Pechincha;2;1;0;80;1000.0;380.0;0.0;-22.932699612321873;-43.35479633304254
Del Castilho;3;1;0;59;1300.0;100.0;26.0;-22.877511119787396;-43.27483478473477
Botafogo;3;2;2;130;4149.0;1357.0;325.0;-22.95201161674049;-43.18734338972423
Barra da Tijuca;3;2;1;115;3200.0;1800.0;294.0;-22.99530702550762;-43.365374769761274
Flamengo;3;2;1;427;10000.0;4100.0;0.0;-22.931250930459367;-43.1782386135567
Recreio dos Bandeirantes;3;1;1;73;2200.0;769.0;165.0;-23.020417393835025;-43.46731327501538
Copacabana;3;3;1;140;4800.0;1493.0;399.0;-22.96922294493407;-43.181395218768756
Laranjeiras;2;1;1;88;2500.0;837.0;188.0;-22.930084053941183;-43.18527458005489
Recreio dos Bandeirantes;3;3;2;316;3000.0;800.0;300.0;-23.01920061021399;-43.46617522875182
Ipanema;3;1;3;180;30000.0;2200.0;1983.0;-22.980387840560986;-43.20062503437266
Ipanema;4;3;3;330;25000.0;1400.0;500.0;-22.98719959081806;-43.19919432815147
Ipanema;3;2;1;200;6300.0;2200.0;387.0;-22.98317107939175;-43.19957885415474
Laranjeiras;3;1;1;120;4000.0;1400.0;200.0;-22.93804259823115;-43.18526552518283
Copacabana;2;0;0;90;5000.0;1100.0;0.0;-22.974603945883683;-43.186049806236774
Ipanema;3;2;3;320;30000.0;7500.0;1514.0;-22.984184181829946;-43.20419231579217
Catete;2;1;1;65;2500.0;1050.0;68.0;-22.923612167621105;-43.179040265087885
Leblon;3;2;1;196;5700.0;1871.0;420.0;-22.97908105487409;-43.228126433435904
Tijuca;3;3;1;152;5000.0;1337.0;350.0;-22.9286400579695;-43.23719669454325
Ipanema;4;2;1;200;9500.0;3700.0;923.0;-22.979814842316014;-43.202894541297155
Leblon;3;1;1;160;7800.0;1554.0;569.0;-22.98115577351809;-43.227866527971216
Laranjeiras;2;1;0;60;1800.0;1000.0;76.0;-22.938021265492104;-43.18561438144163
Flamengo;3;0;0;64;2750.0;600.0;0.0;-22.934798954251228;-43.1766429698562
Recreio dos Bandeirantes;3;4;1;217;3300.0;987.0;516.0;-23.01478540553326;-43.46618026093852
Barra da Tijuca;1;1;0;67;3500.0;1300.0;0.0;-23.00050977387456;-43.3632393191936
Botafogo;3;0;0;100;3000.0;915.0;195.0;-22.95100727539532;-43.184725987611614
Barra da Tijuca;5;3;5;1200;24000.0;7000.0;5330.0;-22.99784817693904;-43.36564371838936
Ipanema;1;0;0;48;2100.0;586.0;155.0;-22.98165850626987;-43.204645650535795
Botafogo;2;1;1;104;4650.0;1150.0;203.0;-22.95477725664076;-43.18865373015499
Leblon;2;1;1;300;17000.0;1000.0;600.0;-22.986286742237;-43.2275874174379
Barra da Tijuca;2;2;1;105;1500.0;2115.0;0.0;-23.000804474206316;-43.367154556872016
Copacabana;1;0;1;46;1499.0;660.0;68.0;-22.971489197661406;-43.18034806234738
Barra da Tijuca;3;3;3;280;12000.0;2480.0;580.0;-23.00386030377005;-43.36385470127605
Jardim Botânico;3;0;1;110;2700.0;1500.0;0.0;-22.960699965252246;-43.22441445954624
Barra da Tijuca;3;1;1;96;2800.0;980.0;90.0;-22.99672913318533;-43.36237013116941
Botafogo;1;0;0;48;1600.0;500.0;25.0;-22.953274370586442;-43.18850728365673
Andaraí;1;0;0;42;900.0;447.0;20.0;-22.928550970489958;-43.257650257562794
Méier;2;1;0;60;1000.0;480.0;12.0;-22.90205893349215;-43.28029738030945
Lagoa;3;1;1;152;6500.0;1800.0;420.0;-22.966724239867787;-43.19971304347439
Usina;3;1;1;94;1700.0;860.0;77.0;-22.947537079925375;-43.25120218155978
Copacabana;5;2;1;280;13000.0;2245.0;296.0;-22.974109906787948;-43.187218149181625
Flamengo;2;0;0;90;2750.0;750.0;200.0;-22.929879860634802;-43.17683259570909
Recreio dos Bandeirantes;2;1;1;100;2200.0;915.0;0.0;-23.015506912357832;-43.46284392002106
Tijuca;2;1;0;80;2300.0;662.0;0.0;-22.924982229476683;-43.23376302869334
Jardim Botânico;2;1;1;80;2900.0;1350.0;160.0;-22.96225188325018;-43.22226370050809
Ipanema;4;2;4;240;19000.0;4340.0;902.0;-22.980421521269236;-43.20551434296054
Anil;2;1;0;55;1100.0;439.0;50.0;-22.956558889050545;-43.339944375084066
Recreio dos Bandeirantes;2;1;1;70;1400.0;650.0;93.0;-23.018588121470298;-43.467714687991005
Barra da Tijuca;3;2;3;118;4000.0;1450.0;370.0;-22.998049811326027;-43.36807200290482
Ipanema;4;3;4;180;25000.0;3500.0;1000.0;-22.98625294764633;-43.20365606763345
Ipanema;3;1;1;120;4700.0;1600.0;171.0;-22.98738150802826;-43.19922052539417
Jacarepaguá;2;1;1;65;1100.0;550.0;0.0;-22.95517764669221;-43.37088394039722
Ipanema;3;1;2;130;8000.0;2220.0;540.0;-22.97950670341338;-43.20358973490521
Lagoa;3;2;1;165;7000.0;1598.0;395.0;-22.966365276562517;-43.19822166905197
Barra da Tijuca;4;2;1;260;6500.0;2370.0;730.0;-22.997530309837725;-43.36281981719357
Lagoa;4;4;2;400;22000.0;2500.0;8000.0;-22.961736208069162;-43.20128598582167
Copacabana;1;0;0;40;1400.0;958.0;25.0;-22.971383828693234;-43.180376178967755
Ipanema;3;1;1;160;7000.0;1630.0;420.0;-22.980640586736264;-43.199453654110236
Riachuelo;2;0;1;70;1300.0;328.0;0.0;-22.90154333557267;-43.250776734218306
Freguesia (Jacarepaguá);2;1;0;62;1000.0;575.0;62.0;-22.941105533580323;-43.34127739255138
Ipanema;4;4;3;450;35000.0;12815.0;3000.0;-22.982207494111993;-43.198804058534634
Copacabana;3;1;1;120;4500.0;900.0;0.0;-22.975397746843942;-43.180509230753515
Leblon;3;1;1;200;5500.0;1680.0;100.0;-22.983348067175342;-43.2218738480022
Ipanema;2;1;0;63;4000.0;610.0;1090.0;-22.98327832682052;-43.198925640720816
Praça Seca;2;1;0;67;1000.0;477.0;36.0;-22.896154579387407;-43.3550407519421
Lagoa;3;1;1;128;6000.0;1200.0;349.0;-22.965500174905863;-43.203146119975266
Leblon;1;1;0;81;5500.0;1520.0;509.0;-22.98743420645406;-43.22132683561527
Copacabana;4;1;1;206;5400.0;1900.0;388.0;-22.973596869997102;-43.1809370794031
São Conrado;3;1;1;130;6000.0;1980.0;433.0;-22.987954344620245;-43.26823535509929
Grajaú;2;1;1;110;1800.0;1100.0;150.0;-22.925802223455022;-43.26607366754986
Barra da Tijuca;3;2;2;200;9000.0;1700.0;550.0;-23.002770620333667;-43.36758845658394
Ipanema;3;1;1;170;5000.0;2300.0;600.0;-22.98600166681706;-43.20585116482535
Abolição;2;1;0;65;1300.0;280.0;0.0;-22.886885773953594;-43.296588716226346
Freguesia (Jacarepaguá);4;2;3;220;3300.0;1800.0;408.0;-22.93718095840924;-43.34311268159379
Copacabana;1;0;0;45;2000.0;396.0;0.0;-22.973270141092193;-43.18839648584838
Barra da Tijuca;2;1;1;78;2000.0;850.0;202.0;-23.001631694221395;-43.36637173861273
Barra da Tijuca;2;1;1;66;2290.0;917.0;0.0;-22.99947388903097;-43.363269790144166
Botafogo;3;2;1;130;3200.0;1400.0;0.0;-22.94758274682237;-43.18608959687971
Urca;2;0;0;80;2600.0;530.0;84.0;-22.95394920156246;-43.17243192800646
Flamengo;4;1;1;240;4500.0;1700.0;0.0;-22.931586118060892;-43.1722162009227
Copacabana;1;0;0;59;1800.0;600.0;125.0;-22.974824772523267;-43.1816161726399
Madureira;2;1;0;70;1000.0;550.0;0.0;-22.875307422128582;-43.33863559338888
Pechincha;3;1;1;76;1500.0;700.0;800.0;-22.926714343441724;-43.35669173184671
Ipanema;4;1;4;500;24000.0;3100.0;0.0;-22.983562288982764;-43.20213837130383
Centro;1;0;0;43;1000.0;400.0;18.0;-22.27664841178987;-42.53293233656323
Lins de Vasconcelos;1;1;1;98;800.0;913.0;82.0;-22.911109802030538;-43.28044174683068
Barra da Tijuca;2;1;1;70;2000.0;950.0;80.0;-22.998075695638452;-43.36161930410987
Leme;4;2;1;400;11000.0;3200.0;1365.0;-22.96349434921942;-43.16474805299259
Copacabana;3;1;1;100;4500.0;748.0;115.0;-22.970305006524846;-43.183305014478236
Jardim Botânico;6;2;1;320;13500.0;2800.0;7649.0;-22.96194108022221;-43.22422801361656
Ipanema;3;2;1;160;6300.0;2200.0;495.0;-22.987593199311494;-43.20332067813664
Copacabana;3;1;3;300;7500.0;2290.0;524.0;-22.971253580226804;-43.18013385667785
Copacabana;3;0;0;110;2700.0;1000.0;20.0;-22.969064166648526;-43.18493240464502
Flamengo;2;0;0;75;2500.0;577.0;160.0;-22.93836802102545;-43.173773014315316
Vila da Penha;2;0;0;52;650.0;440.0;0.0;-22.843342963283504;-43.30905688519681
Botafogo;3;1;1;120;5000.0;880.0;217.0;-22.95265247224405;-43.1884729730586
Leblon;3;2;1;155;11900.0;1006.0;330.0;-22.983596708777206;-43.22931798996388
Flamengo;3;1;0;100;3300.0;700.0;147.0;-22.935421282178435;-43.17276723404232
Barra da Tijuca;1;1;0;58;1400.0;1624.0;314.0;-22.996043308193563;-43.36637471528969
Leme;2;0;0;87;2600.0;720.0;203.0;-22.965282239277297;-43.16372402715654
Copacabana;2;2;1;95;3900.0;1037.0;0.0;-22.975083005767626;-43.183017400040335
Vila da Penha;2;1;0;60;1300.0;300.0;0.0;-22.84601647848448;-43.30670885674147
Ipanema;1;0;0;34;1500.0;404.0;28.0;-22.986759948935312;-43.19891746817433
Recreio dos Bandeirantes;2;1;0;75;1800.0;950.0;0.0;-23.014941589405126;-43.46400302756705
Leblon;2;1;1;100;3500.0;1930.0;390.0;-22.982439944765385;-43.229002187701994
Flamengo;3;2;1;95;3200.0;805.0;0.0;-22.931001354363204;-43.17145788600754
Tijuca;3;1;1;140;2800.0;1260.0;0.0;-22.92450422457783;-43.231625470684094
Barra da Tijuca;4;3;2;230;7500.0;4300.0;850.0;-22.999451539117086;-43.36231923494781
Leme;3;1;0;97;2800.0;1053.0;187.0;-22.961243984544215;-43.17067705782816
Flamengo;4;2;4;430;15000.0;4000.0;0.0;-22.93167733930723;-43.170404034384596
Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;0.0;-23.02198939937306;-43.465968064771914
Barra da Tijuca;1;1;1;70;2200.0;950.0;120.0;-23.000095977772528;-43.36578050476898
Jardim Botânico;4;2;1;150;7000.0;1100.0;390.0;-22.967448597069865;-43.220680640429315
Copacabana;3;1;2;190;5000.0;2600.0;500.0;-22.969104397303543;-43.18023987827926
Ipanema;3;1;1;132;6800.0;1500.0;330.0;-22.980145012225904;-43.19832522045865
Ipanema;4;2;4;370;30000.0;5707.0;1876.0;-22.984140035931137;-43.20268402205887
Ilha do Governador;2;1;0;140;1450.0;250.0;12.0;-22.80653683880738;-43.22137789887626
Leme;2;0;0;75;2700.0;878.0;0.0;-22.962940882908264;-43.16708028991665
Ipanema;2;1;0;75;3600.0;800.0;0.0;-22.981102351670504;-43.20348983071594
Leblon;3;1;1;116;6800.0;1471.0;390.0;-22.979953262531563;-43.225576383937934
Flamengo;1;0;0;77;1700.0;811.0;98.0;-22.933105262245363;-43.176142268649954
Barra da Tijuca;1;1;1;84;4000.0;1950.0;380.0;-22.997368094087246;-43.36461932686033
Leblon;3;1;2;129;10000.0;1266.0;284.0;-22.98488239383334;-43.228776437739064
Botafogo;3;1;1;102;5100.0;1310.0;271.0;-22.949620546053698;-43.18424515806062
Leblon;3;2;1;180;5000.0;3900.0;485.0;-22.987701964164987;-43.225664202531156
Irajá;2;1;0;55;1300.0;350.0;0.0;-22.832281733024296;-43.327681874778776
São Cristóvão;2;1;1;56;1400.0;512.0;50.0;-22.9018167793702;-43.225571302705475
Gávea;4;4;4;600;6950.0;5663.0;1639.0;-22.97821296311723;-43.23840194693041
Catete;1;1;0;35;2500.0;520.0;25.0;-22.930138665972613;-43.18208581945296
Urca;3;1;0;110;5500.0;1452.0;363.0;-22.956534830123967;-43.16740592389587
Barra da Tijuca;4;2;1;125;3700.0;1350.0;520.0;-23.003112302369793;-43.363984059445436
Leblon;4;2;4;160;9500.0;2710.0;1154.0;-22.986788835728408;-43.22783928211269
Laranjeiras;2;1;0;80;2300.0;719.0;93.0;-22.93810985534095;-43.189759720620984
Recreio dos Bandeirantes;4;3;2;181;3200.0;1265.0;407.0;-23.016797736770105;-43.46603471544163
Barra da Tijuca;2;1;1;85;2500.0;1078.0;169.0;-22.997184132492585;-43.36180294127628
Barra da Tijuca;2;1;1;65;2059.0;1000.0;0.0;-23.003540782322304;-43.36499663363504
Barra da Tijuca;3;2;1;150;12000.0;2600.0;7000.0;-22.997268169227638;-43.36473594879568
Recreio dos Bandeirantes;2;3;1;90;2500.0;877.0;465.0;-23.0161990936906;-43.46398766400851
Ilha do Governador;3;2;1;120;2700.0;515.0;123.0;-22.808958347532755;-43.21975429379319
Copacabana;2;0;0;60;2300.0;525.0;26.0;-22.97550364356322;-43.18863188109647
Recreio dos Bandeirantes;2;1;1;89;1700.0;908.0;160.0;-23.01587760336514;-43.45911445585266
Barra da Tijuca;4;4;2;247;15000.0;2700.0;11000.0;-22.99961908726746;-43.36215573484918
Ipanema;3;1;1;150;5500.0;2300.0;600.0;-22.98792231286636;-43.20379845377603
Praça Seca;2;1;0;48;650.0;277.0;13.0;-22.90269180003801;-43.34909542018215
Freguesia (Jacarepaguá);2;1;0;60;1400.0;70.0;600.0;-22.943112787758988;-43.340944982897064
Copacabana;3;1;1;100;3000.0;761.0;95.0;-22.97587777374951;-43.18176584145725
Barra da Tijuca;3;3;3;230;8000.0;3900.0;6518.0;-22.998232122188202;-43.36681614358291
Jacarepaguá;2;1;1;66;1400.0;350.0;0.0;-22.9508816475569;-43.36971581451871
Recreio dos Bandeirantes;3;1;1;81;2600.0;600.0;145.0;-23.015973762672978;-43.46078320969562
Anil;2;1;0;49;950.0;490.0;14.0;-22.952032417362677;-43.340848364672766
Méier;2;1;0;60;970.0;600.0;35.0;-22.904381389321028;-43.28112089884037
Copacabana;1;0;0;35;1700.0;335.0;0.0;-22.96836342619562;-43.1883896497105
Tijuca;3;1;0;77;2100.0;762.0;91.0;-22.927572063578793;-43.22979308390398
Maria da Graça;2;0;0;60;900.0;300.0;0.0;-22.88437649700176;-43.26164039042143
Barra da Tijuca;4;3;3;179;8000.0;2000.0;4464.0;-23.003423386182646;-43.36811425844595
Catete;2;1;0;71;2200.0;725.0;109.0;-22.92380714629793;-43.183117070914676
Leblon;4;2;2;180;11000.0;2850.0;0.0;-22.979484195184455;-43.224416689315774
Leblon;2;1;0;76;4200.0;1100.0;200.0;-22.97942167555425;-43.22881669106269
Centro;1;0;0;35;1350.0;460.0;0.0;-22.28136987112404;-42.52954735100143
Copacabana;2;0;0;64;2000.0;880.0;153.0;-22.975028983975765;-43.18396616545909
Copacabana;4;1;0;200;4000.0;2000.0;2058.0;-22.971968290262257;-43.18728933228542
Barra da Tijuca;4;3;3;225;12500.0;5840.0;12000.0;-22.997683413194824;-43.367512702136615
Anil;2;1;0;50;850.0;450.0;0.0;-22.958136897300466;-43.338900976547116
Flamengo;1;0;0;44;1800.0;486.0;57.0;-22.933351981785222;-43.17636843553433
Flamengo;4;1;1;290;8960.0;1800.0;700.0;-22.937592148838554;-43.178774767289774
Botafogo;2;1;1;65;4900.0;1500.0;250.0;-22.95080639689654;-43.18962642238639
Glória;1;0;0;42;1500.0;450.0;50.0;-22.922696641195717;-43.17792192671944
Recreio dos Bandeirantes;3;2;3;86;2500.0;1250.0;3197.0;-23.021062117317694;-43.46014226093357
Tijuca;3;0;0;61;1800.0;467.0;62.0;-22.92751117231827;-43.22948311411549
Tijuca;3;0;0;110;1500.0;680.0;85.0;-22.926698388876815;-43.232366244384636
Flamengo;1;0;0;42;1650.0;610.0;0.0;-22.93036915737643;-43.171232760396684
Botafogo;1;1;0;90;3600.0;1030.0;350.0;-22.951175461598858;-43.181805972404995
Barra da Tijuca;2;1;1;70;1700.0;1100.0;0.0;-22.99547818086507;-43.36664240685426
Irajá;2;0;0;43;1000.0;120.0;0.0;-22.838724728533425;-43.326310033023084
Copacabana;2;1;1;93;3000.0;867.0;246.0;-22.974547861522343;-43.185412171343046
Recreio dos Bandeirantes;3;2;1;135;3200.0;875.0;380.0;-23.018477342553666;-43.46042380687387
Campo Grande;2;1;0;50;750.0;75.0;0.0;-22.901083195183514;-43.55900203981877
Barra da Tijuca;3;2;0;105;3300.0;1176.0;292.0;-23.00094223276919;-43.36338663035251
Ipanema;3;2;1;163;7000.0;3400.0;620.0;-22.983151274859782;-43.201053634918225
Flamengo;2;1;0;90;3000.0;750.0;200.0;-22.934527107537264;-43.1722290796724
Ipanema;2;1;2;85;4500.0;1300.0;161.0;-22.979835970377053;-43.204471986583705
Flamengo;4;2;1;125;8500.0;1400.0;317.0;-22.936856463161202;-43.173252974706706
Jardim Guanabara;3;2;1;200;1950.0;560.0;195.0;-22.814142798895553;-43.200122467878884
Ipanema;4;2;1;257;8000.0;2800.0;680.0;-22.985039164489752;-43.199887631631114
Leme;2;0;0;77;3000.0;630.0;1293.0;-22.964275533995657;-43.16773936492892
Flamengo;2;0;0;68;1960.0;720.0;100.0;-22.936436112086895;-43.17404081093631
Botafogo;2;0;0;62;2200.0;779.0;120.0;-22.95499399069202;-43.19033096397223
Flamengo;1;1;0;50;2500.0;490.0;26.0;-22.929622585246683;-43.17560613649488
Ipanema;4;2;1;200;9500.0;3600.0;1502.0;-22.98734316137773;-43.203808613530974
Lagoa;2;1;1;70;2600.0;1554.0;233.0;-22.96597295454908;-43.20383125436581
Copacabana;2;1;0;80;2800.0;850.0;120.0;-22.97525078867085;-43.18862919199169
Recreio dos Bandeirantes;5;4;5;360;8000.0;750.0;9700.0;-23.016154636885535;-43.46034301365665
Glória;2;0;0;90;2100.0;800.0;131.0;-22.91647992176328;-43.17822757900179
Copacabana;2;0;1;86;3800.0;600.0;1820.0;-22.971459810894526;-43.18808450258843
Tijuca;2;1;0;75;2300.0;500.0;0.0;-22.92886962293172;-43.230339355236595
Botafogo;2;0;1;82;2600.0;830.0;0.0;-22.953056561334026;-43.186843425463884
Jacarepaguá;2;1;1;70;1500.0;480.0;64.0;-22.956631096537333;-43.370879549586505
Laranjeiras;3;0;0;108;2600.0;900.0;0.0;-22.936264797016843;-43.1869067603939
Glória;1;0;0;43;1500.0;510.0;48.0;-22.91741899442415;-43.17766666752687
Taquara;2;1;0;60;900.0;348.0;14.0;-22.92357833780286;-43.38188738741572
São Conrado;4;2;1;150;4800.0;1790.0;380.0;-22.987073588574887;-43.26619620067161
Campo Grande;2;0;1;75;1000.0;350.0;0.0;-22.90345739716851;-43.56361569589335
Barra da Tijuca;4;3;4;234;11500.0;3294.0;544.0;-22.999255156980052;-43.36784738711526
Recreio dos Bandeirantes;3;2;1;300;3509.0;1000.0;470.0;-23.020399796074837;-43.45961615389508
Méier;1;1;0;40;900.0;657.0;0.0;-22.898531708997403;-43.276472410538425
Barra da Tijuca;3;2;1;140;4500.0;1587.0;0.0;-23.002541335128996;-43.369166032329
Taquara;3;1;2;90;2500.0;590.0;0.0;-22.92575991758739;-43.38133195890601
Barra da Tijuca;1;1;0;74;1600.0;1067.0;0.0;-22.996670875523904;-43.364119882633716
Barra da Tijuca;4;2;1;160;3500.0;1175.0;6150.0;-22.99995930882811;-43.366355901896796
Copacabana;3;1;1;156;3900.0;800.0;0.0;-22.97036182002548;-43.184082072240834
Tijuca;2;0;0;65;1500.0;500.0;0.0;-22.927621424449516;-43.230385619832866
Barra da Tijuca;3;2;2;160;8000.0;2900.0;605.0;-22.99525189006883;-43.37005394610843
Copacabana;1;0;0;40;2000.0;510.0;0.0;-22.972049164638094;-43.18685358600762
Barra da Tijuca;2;1;1;70;2400.0;970.0;77.0;-23.003293853038876;-43.36754496886877
Copacabana;2;0;0;84;2800.0;682.0;115.0;-22.972531474846363;-43.18747957110119
Barra da Tijuca;5;4;5;1147;24000.0;5600.0;1800.0;-22.99831346563043;-43.361984709697836
Barra da Tijuca;4;3;4;352;12000.0;4182.0;1636.0;-23.003475346809164;-43.363766678693366
Lagoa;3;2;1;100;3100.0;1283.0;0.0;-22.965675491945067;-43.2050477124607
Recreio dos Bandeirantes;3;2;1;85;1800.0;1200.0;0.0;-23.01940948140947;-43.46516569871686
Barra da Tijuca;3;2;1;200;5000.0;1900.0;230.0;-22.99892538490901;-43.36796156978779
Tijuca;1;1;0;65;1700.0;501.0;0.0;-22.928319600590914;-43.23155668777046
Leblon;3;1;1;155;7000.0;2600.0;500.0;-22.979633187160122;-43.227142115224375
São Conrado;4;3;2;400;19000.0;10000.0;2400.0;-22.987058520036783;-43.26745486965942
Jardim Sulacap;2;2;0;60;1500.0;455.0;0.0;-22.89959750629957;-43.39211695546731
Taquara;2;1;0;52;850.0;528.0;14.0;-22.91760953255227;-43.38242112413525
Barra da Tijuca;2;1;1;70;3500.0;1200.0;275.0;-23.001192715182967;-43.36402432258375
Barra da Tijuca;2;1;1;74;2800.0;1260.0;216.0;-22.99888575253051;-43.3683992376416
Jacarepaguá;2;1;0;55;1300.0;480.0;0.0;-22.94875664813231;-43.371247547342726
Leblon;3;2;1;170;12000.0;2800.0;490.0;-22.986855940490713;-43.223397212881515
Recreio dos Bandeirantes;3;0;1;90;1900.0;590.0;2321.0;-23.015472117817925;-43.46654724707949
Barra da Tijuca;2;1;1;93;2600.0;800.0;225.0;-22.997713595497007;-43.368491747146805
Copacabana;2;1;0;74;2950.0;1150.0;137.0;-22.97396733500949;-43.18484200017128
Jacarepaguá;3;1;1;85;1700.0;680.0;89.0;-22.951251155733754;-43.37228738961936
Barra da Tijuca;2;1;0;78;2400.0;1200.0;77.0;-22.999003132384036;-43.36620189989139
Leblon;3;2;1;180;10000.0;1700.0;400.0;-22.98550404488486;-43.22188569034987
Barra da Tijuca;1;1;1;60;1800.0;543.0;1100.0;-22.997134965409355;-43.36237331277654
São Conrado;4;2;1;198;4500.0;1933.0;293.0;-22.990064719396894;-43.26799646116276
Recreio dos Bandeirantes;2;1;1;98;2000.0;711.0;0.0;-23.019412980239746;-43.46592353238825
Pitangueiras;3;2;1;154;1700.0;750.0;251.0;-22.817345663450336;-43.18333791309658
